F;0;101;
J;776;125;
LeftShift;0;329;
a;380;103;
r;449;180;
@;793;98;
LeftShift;0;226;
S;653;140;
LeftShift;0;286;
e;692;118;
6;1454;110;
9;268;118;
:
F;0;103;
J;442;112;
LeftShift;0;269;
a;271;118;
r;326;137;
@;983;160;
LeftShift;0;319;
S;708;125;
LeftShift;0;416;
e;398;125;
6;1219;168;
9;286;94;
:
F;0;113;
J;631;112;
LeftShift;0;212;
a;315;125;
r;290;135;
@;702;116;
LeftShift;0;232;
S;534;145;
LeftShift;0;258;
e;335;182;
6;1153;124;
9;310;70;
:
F;0;91;
J;543;120;
LeftShift;0;312;
a;341;110;
r;321;97;
@;662;91;
LeftShift;0;412;
S;688;149;
LeftShift;0;348;
e;377;132;
6;1372;103;
9;329;86;
:
F;0;111;
J;909;107;
LeftShift;0;255;
a;258;121;
r;278;108;
@;826;73;
LeftShift;0;385;
S;1044;117;
LeftShift;0;385;
e;475;120;
6;1047;116;
9;774;94;
:
F;0;125;
J;591;117;
LeftShift;0;284;
a;308;91;
r;299;96;
@;1028;89;
LeftShift;0;784;
S;830;113;
LeftShift;0;404;
e;424;92;
6;1350;142;
9;411;62;
:
F;0;91;
J;478;129;
LeftShift;0;269;
a;306;163;
r;302;130;
@;1005;94;
LeftShift;0;420;
S;1292;120;
LeftShift;0;481;
e;490;132;
6;1553;115;
9;478;123;
:
F;0;113;
J;584;137;
LeftShift;0;330;
a;313;142;
r;261;156;
@;995;120;
LeftShift;0;296;
S;904;132;
LeftShift;0;277;
e;323;125;
6;1235;104;
9;221;122;
:
F;0;99;
J;403;104;
LeftShift;0;217;
a;259;89;
r;217;101;
@;432;87;
LeftShift;0;235;
S;790;143;
LeftShift;0;274;
e;300;125;
6;896;104;
9;266;82;
:
F;0;101;
J;385;142;
LeftShift;0;250;
a;309;140;
r;261;142;
@;752;118;
LeftShift;0;375;
S;778;134;
LeftShift;0;302;
e;362;118;
6;887;123;
9;329;104;
:
F;0;96;
J;384;118;
LeftShift;0;265;
a;305;112;
r;310;111;
@;564;75;
LeftShift;0;244;
S;645;150;
LeftShift;0;311;
e;338;125;
6;831;138;
9;230;99;
:
F;0;113;
J;911;134;
LeftShift;0;401;
a;385;136;
r;359;116;
@;984;110;
LeftShift;0;444;
S;1163;133;
LeftShift;0;374;
e;371;120;
6;1238;127;
9;398;99;
:
F;0;104;
J;908;130;
LeftShift;0;374;
a;331;154;
r;423;120;
@;726;120;
LeftShift;0;283;
S;1109;127;
LeftShift;0;383;
e;408;113;
6;1039;96;
9;401;70;
:
F;0;103;
J;504;110;
LeftShift;0;278;
a;284;117;
r;295;108;
@;523;118;
LeftShift;0;258;
S;693;164;
LeftShift;0;389;
e;420;127;
6;1161;122;
9;350;87;
:
F;0;90;
J;456;118;
LeftShift;0;361;
a;399;132;
r;385;115;
@;652;117;
LeftShift;0;341;
S;1095;132;
LeftShift;0;426;
e;414;114;
6;1376;140;
9;327;89;
:
F;0;97;
J;1625;103;
LeftShift;0;560;
a;444;149;
r;346;135;
@;818;149;
LeftShift;0;361;
S;796;166;
LeftShift;0;390;
e;435;130;
6;668;121;
9;374;89;
:
F;0;90;
J;549;111;
LeftShift;0;291;
a;311;132;
r;331;122;
@;1123;146;
LeftShift;0;321;
S;998;147;
LeftShift;0;351;
e;454;122;
6;1309;119;
9;576;104;
:
F;0;111;
J;537;110;
LeftShift;0;302;
a;415;154;
r;272;125;
@;543;108;
LeftShift;0;249;
S;1064;142;
LeftShift;0;303;
e;423;105;
6;937;116;
9;286;125;
:
F;0;82;
J;486;125;
LeftShift;0;288;
a;348;142;
r;315;132;
@;729;130;
LeftShift;0;408;
S;1255;200;
LeftShift;0;247;
e;502;121;
6;1286;140;
9;328;137;
:
F;0;89;
J;920;113;
LeftShift;0;423;
a;398;113;
r;249;128;
@;998;141;
LeftShift;0;336;
S;1144;135;
LeftShift;0;333;
e;546;192;
6;1332;168;
9;382;122;
:
F;0;89;
J;524;121;
LeftShift;0;281;
a;323;120;
r;302;127;
@;862;108;
LeftShift;0;297;
S;735;121;
LeftShift;0;319;
e;358;113;
6;687;110;
9;276;88;
:
F;0;118;
J;615;113;
LeftShift;0;327;
a;340;118;
r;308;139;
@;786;130;
LeftShift;0;241;
S;928;146;
LeftShift;0;346;
e;363;127;
6;1161;106;
9;362;120;
:
F;0;98;
J;519;113;
LeftShift;0;295;
a;350;125;
r;241;128;
@;456;110;
LeftShift;0;217;
S;786;135;
LeftShift;0;272;
e;318;105;
6;1540;111;
9;335;79;
:
F;0;110;
J;880;117;
LeftShift;0;276;
a;328;116;
r;255;115;
@;529;96;
LeftShift;0;313;
S;839;108;
LeftShift;0;416;
e;346;115;
6;840;108;
9;285;101;
:
F;0;103;
J;495;115;
LeftShift;0;282;
a;361;113;
r;379;120;
@;584;104;
LeftShift;0;390;
S;2125;134;
LeftShift;0;312;
e;396;116;
6;1146;117;
9;351;96;
:
F;0;99;
J;620;96;
LeftShift;0;255;
a;374;137;
r;310;108;
@;533;96;
LeftShift;0;241;
S;818;139;
LeftShift;0;369;
e;347;125;
6;824;111;
9;344;84;
:
F;0;96;
J;548;125;
LeftShift;0;332;
a;302;130;
r;369;108;
@;490;112;
LeftShift;0;243;
S;810;121;
LeftShift;0;369;
e;319;123;
6;1007;116;
9;416;92;
:
F;0;101;
J;580;103;
LeftShift;0;284;
a;371;152;
r;359;134;
@;757;113;
LeftShift;0;325;
S;1139;130;
LeftShift;0;441;
e;377;125;
6;844;123;
9;372;105;
:
F;0;104;
J;472;140;
LeftShift;0;226;
a;309;101;
r;310;105;
LeftShift;0;74;
@;3128;62;
LeftShift;0;2898;
S;892;144;
LeftShift;0;531;
e;564;125;
6;1159;108;
9;276;82;
:
F;0;89;
J;377;120;
LeftShift;0;222;
a;295;121;
r;286;93;
@;553;84;
LeftShift;0;319;
S;715;156;
LeftShift;0;297;
e;300;122;
6;1589;101;
9;324;99;
:
F;0;118;
J;474;104;
LeftShift;0;267;
a;305;137;
r;287;128;
@;522;125;
LeftShift;0;267;
S;775;134;
LeftShift;0;412;
e;396;154;
6;933;129;
9;235;108;
:
F;0;98;
J;550;113;
LeftShift;0;329;
a;387;93;
r;303;124;
@;705;132;
LeftShift;0;295;
S;883;130;
LeftShift;0;365;
e;342;130;
6;1026;142;
9;226;113;
:
F;0;97;
J;517;106;
LeftShift;0;276;
a;316;123;
r;290;106;
@;503;118;
LeftShift;0;267;
S;685;115;
LeftShift;0;325;
e;332;120;
6;723;125;
9;315;89;
:
F;0;106;
J;371;120;
LeftShift;0;206;
a;273;108;
r;238;89;
@;447;125;
LeftShift;0;247;
S;813;121;
LeftShift;0;297;
e;377;109;
6;812;113;
9;257;98;
:
F;0;111;
J;358;110;
LeftShift;0;230;
a;264;106;
r;261;97;
@;532;103;
LeftShift;0;276;
S;672;118;
LeftShift;0;337;
e;294;122;
6;680;101;
9;310;106;
:
F;0;113;
J;546;103;
LeftShift;0;272;
a;293;112;
r;299;99;
@;718;131;
LeftShift;0;271;
S;811;126;
LeftShift;0;243;
e;719;117;
6;652;157;
9;351;82;
:
F;0;108;
J;359;119;
LeftShift;0;223;
a;348;171;
r;358;136;
@;1288;118;
LeftShift;0;327;
S;1282;111;
LeftShift;0;336;
e;409;124;
6;642;97;
9;287;82;
:
F;0;113;
J;454;104;
LeftShift;0;245;
a;318;90;
r;345;113;
@;692;147;
LeftShift;0;283;
S;802;125;
LeftShift;0;344;
e;390;115;
6;1041;91;
9;386;94;
:
F;0;91;
J;471;101;
LeftShift;0;238;
a;292;103;
r;269;96;
@;714;128;
LeftShift;0;306;
S;700;148;
LeftShift;0;370;
e;372;129;
6;811;113;
9;349;88;
:
F;0;103;
J;1161;117;
LeftShift;0;488;
a;298;147;
r;308;125;
@;1509;135;
LeftShift;0;251;
S;1693;108;
LeftShift;0;356;
e;363;120;
6;1254;108;
9;266;94;
:
F;0;118;
J;1354;100;
LeftShift;0;271;
a;281;108;
r;312;120;
@;811;121;
LeftShift;0;236;
S;722;132;
LeftShift;0;322;
e;338;121;
6;825;139;
9;328;106;
:
F;0;87;
J;543;92;
LeftShift;0;287;
a;313;129;
r;295;117;
@;590;99;
LeftShift;0;261;
S;879;147;
LeftShift;0;428;
e;329;122;
6;761;124;
9;334;98;
:
F;0;101;
J;571;99;
LeftShift;0;250;
a;291;123;
r;321;111;
@;747;135;
LeftShift;0;308;
S;2381;124;
LeftShift;0;306;
e;387;117;
6;932;134;
9;417;99;
:
F;0;93;
J;483;99;
LeftShift;0;272;
a;362;130;
r;315;125;
@;505;141;
LeftShift;0;224;
S;728;137;
LeftShift;0;300;
e;360;129;
6;1231;111;
9;336;113;
:
F;0;94;
J;567;107;
LeftShift;0;229;
a;266;111;
r;260;122;
@;666;107;
LeftShift;0;175;
S;765;142;
LeftShift;0;306;
e;331;125;
6;632;113;
9;291;109;
:
F;0;82;
J;509;118;
LeftShift;0;265;
a;258;98;
r;302;130;
@;543;105;
LeftShift;0;252;
S;923;142;
LeftShift;0;344;
e;331;123;
6;837;118;
9;302;86;
:
F;0;110;
J;734;110;
LeftShift;0;368;
a;319;118;
r;276;135;
@;777;141;
LeftShift;0;294;
S;1432;144;
LeftShift;0;315;
e;398;116;
6;1138;142;
9;421;120;
:
F;0;91;
J;536;110;
LeftShift;0;260;
a;218;115;
r;278;122;
@;614;110;
LeftShift;0;204;
S;600;120;
LeftShift;0;271;
e;380;118;
6;915;130;
9;214;99;
:
F;0;94;
J;967;97;
LeftShift;0;462;
a;296;116;
r;265;118;
@;472;136;
LeftShift;0;291;
S;723;120;
LeftShift;0;295;
e;324;115;
6;850;106;
9;331;96;
:
F;0;94;
J;392;109;
LeftShift;0;191;
a;270;106;
r;254;109;
@;442;93;
LeftShift;0;209;
S;742;113;
LeftShift;0;341;
e;267;123;
6;687;108;
9;280;72;
:
F;0;86;
J;988;122;
LeftShift;0;240;
a;279;109;
r;306;104;
@;645;144;
LeftShift;0;224;
S;682;148;
LeftShift;0;300;
e;370;122;
6;773;120;
9;452;115;
:
F;0;94;
J;437;112;
LeftShift;0;189;
a;241;113;
r;305;105;
@;579;95;
LeftShift;0;210;
S;930;145;
LeftShift;0;227;
e;284;135;
6;1931;123;
9;189;108;
:
F;0;120;
J;476;94;
LeftShift;0;175;
a;214;120;
r;230;120;
@;1538;111;
LeftShift;0;708;
S;704;130;
LeftShift;0;303;
e;320;120;
6;883;96;
9;274;87;
:
F;0;89;
J;470;96;
LeftShift;0;233;
a;306;151;
r;322;109;
@;704;127;
LeftShift;0;284;
S;692;109;
LeftShift;0;329;
e;278;142;
6;741;105;
9;247;91;
:
F;0;106;
J;1062;113;
LeftShift;0;413;
a;305;138;
r;295;140;
@;604;170;
LeftShift;0;240;
S;821;129;
LeftShift;0;282;
e;327;125;
6;926;118;
9;220;87;
:
F;0;101;
J;444;101;
LeftShift;0;202;
a;257;96;
r;298;118;
@;470;106;
LeftShift;0;226;
S;745;140;
LeftShift;0;407;
e;343;100;
6;606;115;
9;209;87;
:
F;0;91;
J;427;96;
LeftShift;0;205;
a;246;96;
r;255;89;
@;374;100;
LeftShift;0;184;
S;627;136;
LeftShift;0;205;
e;294;100;
6;686;115;
9;353;111;
:
F;0;101;
J;392;99;
LeftShift;0;215;
a;297;109;
