F;0;90;
J;267;113;
LeftShift;0;134;
a;137;217;
r;171;100;
@;564;113;
RightShift;0;195;
S;383;123;
RightShift;0;190;
e;200;120;
6;347;128;
9;99;161;
:
F;0;115;
J;266;120;
LeftShift;0;142;
a;169;181;
r;103;120;
@;269;118;
RightShift;0;222;
S;338;140;
RightShift;0;229;
e;182;123;
6;331;125;
9;86;134;
:
F;0;128;
J;296;86;
LeftShift;0;137;
a;153;195;
r;134;96;
@;273;118;
RightShift;0;234;
S;370;132;
RightShift;0;188;
e;180;115;
6;329;101;
9;74;88;
:
F;0;124;
J;307;113;
LeftShift;0;155;
a;179;164;
r;93;108;
@;435;106;
RightShift;0;348;
S;453;130;
RightShift;0;253;
e;213;101;
6;480;123;
9;67;94;
:
F;0;106;
J;348;136;
LeftShift;0;160;
a;169;160;
r;88;118;
@;353;106;
RightShift;0;233;
S;432;113;
RightShift;0;217;
e;201;99;
6;302;118;
9;106;134;
:
F;0;111;
J;457;143;
LeftShift;0;168;
a;195;171;
r;112;111;
@;390;108;
RightShift;0;262;
S;383;121;
RightShift;0;247;
e;211;120;
6;309;110;
9;110;118;
:
F;0;127;
J;365;135;
LeftShift;0;226;
a;193;178;
r;116;128;
@;335;122;
RightShift;0;236;
S;417;130;
RightShift;0;201;
e;221;137;
6;369;135;
9;115;110;
:
F;0;111;
RightShift;0;197;
J;658;136;
LeftShift;0;229;
a;230;223;
r;168;103;
@;649;115;
RightShift;0;331;
S;352;163;
RightShift;0;322;
e;299;106;
6;1374;102;
9;90;135;
:
F;0;120;
J;384;111;
LeftShift;0;180;
a;170;219;
r;98;137;
@;391;130;
RightShift;0;211;
S;412;139;
RightShift;0;225;
e;217;141;
6;710;125;
9;75;109;
:
F;0;118;
J;451;136;
LeftShift;0;210;
a;448;168;
r;118;115;
@;467;113;
RightShift;0;281;
S;356;111;
RightShift;0;237;
e;194;115;
6;283;110;
9;120;101;
:
F;0;106;
J;391;132;
LeftShift;0;162;
a;176;185;
r;114;120;
@;375;139;
RightShift;0;248;
S;385;142;
RightShift;0;257;
e;219;117;
6;247;127;
9;107;95;
:
F;0;120;
J;293;119;
LeftShift;0;183;
a;225;187;
r;88;127;
@;406;140;
RightShift;0;293;
S;624;130;
RightShift;0;329;
e;206;113;
6;270;128;
9;128;117;
:
F;0;103;
J;382;127;
LeftShift;0;245;
a;232;178;
r;104;126;
@;357;124;
RightShift;0;253;
S;403;128;
RightShift;0;262;
e;237;110;
6;281;110;
9;102;94;
:
F;0;108;
J;287;111;
LeftShift;0;158;
a;192;180;
r;105;113;
@;406;118;
RightShift;0;295;
S;495;120;
RightShift;0;271;
e;208;113;
6;257;116;
9;81;108;
:
F;0;108;
J;273;129;
LeftShift;0;161;
a;175;192;
r;134;101;
@;448;111;
RightShift;0;301;
S;524;120;
RightShift;0;257;
e;242;103;
6;339;109;
9;110;141;
:
F;0;116;
J;283;135;
LeftShift;0;162;
a;189;187;
r;105;127;
@;349;106;
RightShift;0;257;
S;371;117;
RightShift;0;283;
e;220;99;
6;243;103;
9;55;96;
:
F;0;110;
J;281;137;
LeftShift;0;176;
a;201;197;
r;125;123;
@;369;135;
RightShift;0;267;
S;382;129;
RightShift;0;244;
e;238;107;
6;234;111;
9;156;120;
:
F;0;111;
J;272;100;
LeftShift;0;159;
a;180;158;
r;102;118;
@;370;113;
RightShift;0;281;
S;516;118;
RightShift;0;259;
e;242;106;
6;296;102;
9;102;95;
:
F;0;105;
J;311;142;
LeftShift;0;161;
a;165;169;
r;110;120;
@;358;113;
RightShift;0;284;
S;444;123;
RightShift;0;227;
e;215;101;
6;216;106;
9;73;92;
:
F;0;109;
J;316;125;
LeftShift;0;147;
a;168;173;
r;96;123;
@;472;128;
RightShift;0;273;
S;613;118;
RightShift;0;284;
e;204;112;
6;311;122;
9;109;118;
:
F;0;122;
J;290;137;
LeftShift;0;175;
a;194;187;
r;108;132;
@;494;137;
RightShift;0;360;
S;801;125;
RightShift;0;292;
e;237;120;
6;461;122;
9;94;122;
:
F;0;115;
J;258;130;
LeftShift;0;149;
a;181;197;
r;109;116;
@;358;118;
RightShift;0;267;
S;394;120;
RightShift;0;272;
e;196;94;
6;228;120;
9;86;111;
:
F;0;111;
J;283;132;
LeftShift;0;147;
a;172;166;
r;76;135;
@;355;134;
RightShift;0;282;
S;465;127;
RightShift;0;267;
e;217;113;
6;245;98;
9;69;104;
:
F;0;112;
J;275;106;
LeftShift;0;154;
a;177;159;
r;105;118;
@;519;99;
RightShift;0;336;
S;408;115;
RightShift;0;265;
e;225;108;
6;281;100;
9;117;86;
:
F;0;106;
J;264;141;
LeftShift;0;161;
a;194;161;
r;122;118;
@;395;118;
RightShift;0;303;
S;469;116;
RightShift;0;284;
e;220;98;
6;259;99;
9;187;113;
:
F;0;123;
J;263;99;
LeftShift;0;171;
a;194;163;
r;105;130;
@;305;120;
RightShift;0;284;
S;446;128;
RightShift;0;274;
e;230;111;
6;242;118;
9;95;94;
:
F;0;115;
J;265;101;
LeftShift;0;164;
a;180;194;
r;122;108;
@;372;118;
RightShift;0;280;
S;511;123;
RightShift;0;344;
e;254;101;
6;276;87;
9;100;118;
:
F;0;113;
J;268;130;
LeftShift;0;158;
a;192;175;
r;109;111;
@;329;117;
RightShift;0;289;
S;545;106;
RightShift;0;271;
e;228;122;
6;254;91;
9;74;89;
:
F;0;116;
J;255;133;
LeftShift;0;137;
a;165;170;
r;100;113;
@;401;111;
RightShift;0;310;
S;809;120;
RightShift;0;460;
e;273;101;
6;576;105;
9;97;103;
:
F;0;130;
J;287;126;
LeftShift;0;151;
a;164;137;
r;76;125;
@;375;116;
RightShift;0;291;
S;571;106;
RightShift;0;233;
e;187;110;
6;222;106;
9;75;93;
:
F;0;116;
J;281;128;
LeftShift;0;154;
a;161;165;
r;98;127;
@;375;108;
RightShift;0;294;
S;477;99;
RightShift;0;237;
e;189;96;
6;215;111;
9;87;83;
:
F;0;113;
J;263;130;
LeftShift;0;130;
a;153;166;
r;94;114;
@;372;114;
RightShift;0;306;
S;407;123;
RightShift;0;272;
e;213;101;
6;242;103;
9;69;99;
:
F;0;113;
J;256;113;
LeftShift;0;142;
a;153;173;
r;105;120;
@;321;118;
RightShift;0;298;
S;446;116;
RightShift;0;247;
e;202;106;
6;218;113;
9;96;91;
:
F;0;111;
J;264;127;
LeftShift;0;161;
a;175;193;
r;108;149;
@;334;146;
RightShift;0;330;
S;460;116;
RightShift;0;253;
e;217;110;
6;249;122;
9;122;122;
:
F;0;103;
J;247;118;
LeftShift;0;144;
a;170;161;
r;95;108;
@;434;113;
RightShift;0;305;
S;416;105;
RightShift;0;224;
e;191;92;
6;192;98;
9;78;82;
:
F;0;94;
J;260;106;
LeftShift;0;135;
a;153;163;
r;105;101;
@;480;116;
RightShift;0;475;
S;506;116;
RightShift;0;241;
e;219;94;
6;239;108;
9;86;111;
:
F;0;106;
J;274;114;
LeftShift;0;135;
a;158;161;
r;102;113;
@;303;126;
RightShift;0;274;
S;446;118;
RightShift;0;348;
e;225;96;
6;243;106;
9;78;99;
:
F;0;105;
J;285;120;
LeftShift;0;158;
a;173;183;
r;102;113;
@;412;128;
RightShift;0;278;
S;408;118;
RightShift;0;262;
e;194;94;
6;232;111;
9;73;99;
:
F;0;111;
J;255;136;
LeftShift;0;154;
a;170;180;
r;115;119;
@;722;123;
RightShift;0;753;
S;597;128;
RightShift;0;238;
e;239;104;
6;242;104;
9;93;84;
:
F;0;110;
J;268;120;
LeftShift;0;161;
a;179;157;
r;74;132;
@;352;132;
RightShift;0;280;
S;650;123;
RightShift;0;263;
e;209;94;
6;224;112;
9;113;83;
:
F;0;101;
J;248;141;
LeftShift;0;147;
a;179;171;
r;80;120;
@;395;118;
RightShift;0;289;
S;394;113;
RightShift;0;252;
e;229;111;
6;235;96;
9;52;104;
:
F;0;94;
J;275;116;
LeftShift;0;151;
a;157;166;
r;95;118;
@;374;118;
RightShift;0;426;
S;472;108;
RightShift;0;248;
e;233;103;
6;282;101;
9;62;108;
:
F;0;100;
J;249;126;
LeftShift;0;135;
a;158;168;
r;87;118;
@;382;113;
RightShift;0;339;
S;610;112;
RightShift;0;406;
e;288;108;
6;323;89;
9;117;134;
:
F;0;96;
J;236;127;
LeftShift;0;141;
a;189;190;
r;109;121;
@;331;127;
RightShift;0;365;
S;489;123;
RightShift;0;263;
e;237;106;
6;285;89;
9;67;114;
:
F;0;106;
J;253;132;
LeftShift;0;145;
a;166;173;
r;95;123;
@;447;115;
RightShift;0;303;
S;391;122;
RightShift;0;259;
e;211;100;
6;252;106;
9;79;106;
:
F;0;110;
J;256;125;
LeftShift;0;148;
a;162;205;
r;119;130;
@;329;120;
RightShift;0;283;
S;386;120;
RightShift;0;250;
e;202;98;
6;206;110;
9;83;79;
:
F;0;132;
J;279;120;
LeftShift;0;142;
a;166;179;
r;90;136;
@;331;113;
S;960;118;
RightShift;0;1225;
e;201;111;
6;213;117;
9;100;89;
:
F;0;105;
J;252;110;
LeftShift;0;159;
a;165;161;
r;95;120;
@;364;123;
RightShift;0;234;
S;390;120;
RightShift;0;233;
e;182;91;
6;211;111;
9;83;96;
:
F;0;108;
J;268;139;
LeftShift;0;159;
a;156;173;
r;100;132;
@;314;120;
RightShift;0;296;
S;436;142;
RightShift;0;255;
e;404;149;
6;588;111;
9;69;120;
:
F;0;106;
J;252;127;
LeftShift;0;144;
a;166;193;
r;99;122;
@;287;113;
RightShift;0;214;
S;418;115;
RightShift;0;199;
e;195;98;
6;212;113;
9;79;101;
:
F;0;105;
J;229;128;
LeftShift;0;143;
a;184;162;
r;84;127;
@;293;125;
RightShift;0;276;
S;404;102;
RightShift;0;175;
e;186;100;
6;232;108;
9;71;85;
:
F;0;104;
J;249;118;
LeftShift;0;146;
a;156;187;
r;114;115;
@;292;125;
RightShift;0;437;
S;705;115;
RightShift;0;228;
e;208;111;
6;214;125;
9;102;104;
:
F;0;106;
J;267;128;
LeftShift;0;147;
a;158;207;
r;100;133;
@;519;105;
RightShift;0;314;
S;398;132;
RightShift;0;233;
e;237;101;
6;222;126;
9;100;104;
:
F;0;120;
J;261;118;
LeftShift;0;161;
a;188;206;
r;127;150;
@;379;132;
RightShift;0;312;
S;400;110;
RightShift;0;206;
e;185;96;
6;227;116;
9;95;106;
:
F;0;120;
J;310;122;
LeftShift;0;202;
a;180;168;
r;86;137;
@;341;112;
RightShift;0;294;
S;422;116;
RightShift;0;232;
e;187;111;
6;219;110;
9;102;96;
:
F;0;111;
J;235;128;
LeftShift;0;146;
a;165;177;
r;87;140;
@;343;123;
RightShift;0;326;
S;318;127;
RightShift;0;186;
e;160;127;
6;234;140;
9;64;94;
:
F;0;106;
J;254;109;
LeftShift;0;163;
a;193;217;
r;120;142;
@;315;137;
RightShift;0;297;
S;359;116;
RightShift;0;178;
e;169;129;
6;234;122;
9;189;67;
:
F;0;123;
J;267;136;
LeftShift;0;152;
a;174;175;
r;93;132;
@;339;118;
RightShift;0;327;
S;406;108;
RightShift;0;224;
e;198;89;
6;228;113;
9;104;90;
:
F;0;115;
J;259;149;
LeftShift;0;156;
a;165;178;
r;100;116;
@;428;110;
RightShift;0;255;
S;431;116;
RightShift;0;221;
e;189;104;
6;217;129;
9;145;105;
:
F;0;104;
J;255;121;
LeftShift;0;156;
a;158;200;
r;86;139;
@;292;137;
RightShift;0;366;
S;406;130;
RightShift;0;191;
e;187;106;
6;226;128;
9;89;93;
:
F;0;127;
J;266;127;
LeftShift;0;171;
a;158;175;
r;83;139;
@;360;152;
RightShift;0;445;
S;509;115;
RightShift;0;226;
e;189;101;
6;231;125;
9;91;89;
:
F;0;115;
J;252;121;
LeftShift;0;149;
a;173;173;
r;93;140;
@;576;142;
RightShift;0;633;
S;602;106;
RightShift;0;216;
e;189;97;
6;238;111;
9;124;118;
:
F;0;127;
J;316;115;
LeftShift;0;159;
a;168;156;
r;86;132;
@;317;116;
RightShift;0;272;
S;394;106;
RightShift;0;218;
e;189;91;
6;213;106;
9;95;90;
:
F;0;96;
J;265;116;
LeftShift;0;149;
a;134;190;
r;117;118;
@;1220;132;
RightShift;0;1225;
S;417;125;
RightShift;0;207;
e;195;101;
6;218;112;
9;801;108;
:
F;0;116;
J;249;128;
LeftShift;0;147;
a;175;178;
r;54;147;
@;1402;135;
RightShift;0;1364;
S;435;98;
RightShift;0;195;
e;157;96;
6;239;128;
9;113;115;
:
F;0;112;
J;247;125;
LeftShift;0;139;
a;156;178;
r;91;117;
@;297;135;
RightShift;0;289;
S;363;108;
RightShift;0;164;
e;175;96;
6;221;110;
9;97;101;
:
F;0;110;
J;273;122;
LeftShift;0;168;
a;168;209;
r;129;159;
@;415;125;
RightShift;0;274;
S;368;103;
RightShift;0;158;
e;184;89;
6;854;118;
9;62;99;
:
F;0;96;
J;241;111;
LeftShift;0;149;
a;142;154;
r;88;135;
@;346;116;
RightShift;0;317;
S;386;106;
RightShift;0;178;
e;194;96;
6;242;105;
9;133;111;
:
F;0;114;
J;292;123;
LeftShift;0;174;
a;175;161;
r;97;118;
@;396;118;
RightShift;0;266;
S;382;122;
RightShift;0;221;
e;199;106;
6;225;113;
9;93;98;
:
F;0;116;
J;262;134;
LeftShift;0;152;
a;163;159;
r;98;122;
@;432;136;
RightShift;0;440;
S;434;111;
RightShift;0;204;
e;192;105;
6;352;132;
9;97;101;
:
F;0;106;
J;271;111;
LeftShift;0;173;
a;184;207;
r;106;144;
@;355;130;
RightShift;0;346;
S;367;101;
RightShift;0;151;
e;179;120;
6;256;113;
9;69;103;
:
F;0;120;
J;281;130;
LeftShift;0;163;
a;176;192;
r;102;139;
@;386;116;
RightShift;0;279;
S;376;103;
RightShift;0;208;
e;177;117;
6;245;98;
9;56;105;
:
F;0;92;
J;240;115;
LeftShift;0;153;
a;155;197;
r;113;131;
@;332;144;
RightShift;0;343;
S;405;128;
RightShift;0;200;
e;206;96;
6;247;122;
9;96;89;
:
F;0;118;
J;255;121;
LeftShift;0;135;
a;158;180;
r;104;125;
@;686;169;
RightShift;0;721;
S;571;118;
RightShift;0;271;
e;195;104;
