F;0;90;
J;273;73;
LeftShift;0;130;
a;135;81;
r;192;103;
@;2219;120;
S;476;125;
LeftShift;0;2424;
e;236;89;
6;1737;96;
9;55;73;
:
F;0;84;
J;268;82;
LeftShift;0;119;
a;135;91;
r;163;73;
@;1748;120;
LeftShift;0;382;
S;408;151;
LeftShift;0;240;
e;755;95;
6;1408;91;
9;58;78;
Return;0;103;
:
F;0;90;
J;668;88;
LeftShift;0;145;
a;160;79;
r;131;77;
@;784;117;
S;630;119;
LeftShift;0;1304;
e;365;96;
6;1042;83;
9;219;87;
:
F;0;93;
J;325;90;
LeftShift;0;127;
a;124;99;
r;157;86;
@;1547;119;
LeftShift;0;442;
S;697;144;
LeftShift;0;298;
e;1403;109;
6;1514;83;
9;56;75;
Return;0;73;
:
F;0;81;
J;312;88;
LeftShift;0;137;
a;141;87;
r;147;92;
@;2986;99;
LeftShift;0;373;
S;372;127;
LeftShift;0;181;
e;251;78;
6;1314;80;
9;60;67;
:
F;0;99;
J;283;92;
LeftShift;0;129;
a;166;88;
r;105;84;
@;1556;126;
LeftShift;0;259;
S;342;128;
LeftShift;0;185;
e;259;68;
6;1650;89;
9;74;60;
:
F;0;80;
J;272;85;
LeftShift;0;115;
a;134;84;
r;140;80;
@;1660;116;
LeftShift;0;464;
S;742;115;
LeftShift;0;225;
e;271;86;
6;1687;68;
9;13;69;
:
F;0;75;
J;249;78;
LeftShift;0;121;
a;155;89;
r;108;76;
@;578;99;
LeftShift;0;389;
S;461;116;
LeftShift;0;192;
e;247;79;
6;1512;81;
9;30;68;
:
F;0;89;
J;307;83;
LeftShift;0;130;
a;134;89;
r;139;76;
@;594;123;
LeftShift;0;366;
S;507;151;
LeftShift;0;315;
e;268;85;
6;2056;86;
9;52;70;
:
F;0;92;
J;263;74;
LeftShift;0;140;
a;149;89;
r;103;82;
@;397;103;
LeftShift;0;354;
S;1117;129;
LeftShift;0;166;
e;272;107;
6;1428;93;
9;74;66;
:
F;0;82;
J;305;83;
LeftShift;0;116;
a;152;86;
r;97;75;
@;885;108;
LeftShift;0;389;
S;429;120;
LeftShift;0;213;
e;255;85;
6;1160;75;
9;57;66;
:
F;0;84;
J;270;84;
LeftShift;0;126;
a;147;81;
r;94;71;
@;529;99;
LeftShift;0;358;
S;342;101;
LeftShift;0;169;
e;214;76;
6;1439;87;
9;74;92;
:
F;0;102;
J;288;75;
LeftShift;0;180;
a;407;76;
r;188;78;
@;386;129;
LeftShift;0;259;
S;536;127;
LeftShift;0;222;
e;546;109;
6;903;80;
9;37;77;
:
F;0;89;
J;304;82;
LeftShift;0;148;
a;141;91;
r;154;85;
@;550;108;
LeftShift;0;253;
S;541;159;
LeftShift;0;272;
e;294;87;
6;1170;77;
9;38;72;
:
F;0;89;
J;291;84;
LeftShift;0;140;
a;139;82;
r;133;79;
@;520;123;
S;401;131;
LeftShift;0;815;
e;580;101;
6;1365;81;
9;84;79;
:
F;0;86;
J;320;89;
LeftShift;0;173;
a;135;81;
r;127;75;
@;461;117;
LeftShift;0;366;
S;445;124;
LeftShift;0;198;
e;588;95;
6;998;96;
9;50;79;
:
F;0;72;
J;290;73;
LeftShift;0;159;
a;197;95;
r;97;74;
@;2595;113;
LeftShift;0;387;
S;346;120;
LeftShift;0;195;
e;266;87;
6;1050;93;
9;62;65;
:
F;0;81;
J;332;82;
LeftShift;0;149;
a;149;84;
r;134;71;
@;1059;109;
LeftShift;0;384;
S;366;91;
LeftShift;0;215;
e;475;98;
6;1490;71;
9;51;72;
:
F;0;81;
J;271;83;
LeftShift;0;122;
a;160;89;
r;117;93;
@;1122;121;
LeftShift;0;333;
S;396;122;
LeftShift;0;206;
e;241;84;
6;1229;104;
9;61;76;
:
F;0;80;
J;266;75;
LeftShift;0;135;
a;130;85;
r;143;79;
@;836;85;
LeftShift;0;671;
S;417;113;
LeftShift;0;211;
e;522;96;
6;1086;94;
9;45;70;
:
F;0;88;
J;309;80;
LeftShift;0;131;
a;119;99;
r;163;79;
@;908;117;
LeftShift;0;812;
S;451;124;
LeftShift;0;234;
e;228;80;
6;1397;87;
9;52;86;
:
F;0;92;
J;255;78;
LeftShift;0;127;
a;213;92;
r;67;72;
@;1286;111;
LeftShift;0;390;
S;638;136;
LeftShift;0;201;
e;242;86;
6;1421;74;
9;19;59;
:
F;0;74;
J;259;82;
LeftShift;0;120;
a;168;80;
r;112;74;
@;471;114;
LeftShift;0;370;
S;380;107;
LeftShift;0;202;
e;254;75;
6;1543;110;
9;156;65;
:
F;0;92;
J;272;78;
LeftShift;0;124;
a;138;84;
r;100;67;
@;441;106;
LeftShift;0;362;
S;350;117;
LeftShift;0;195;
e;225;78;
6;1105;100;
9;67;73;
:
F;0;75;
J;261;79;
LeftShift;0;121;
a;146;90;
r;171;75;
@;315;107;
S;369;135;
LeftShift;0;666;
e;505;98;
6;940;86;
9;106;75;
:
F;0;91;
J;257;85;
LeftShift;0;134;
a;170;85;
r;100;76;
@;390;98;
LeftShift;0;298;
S;438;118;
LeftShift;0;229;
e;253;82;
6;1103;84;
9;46;77;
:
F;0;83;
J;252;86;
LeftShift;0;121;
a;154;75;
r;116;73;
@;361;112;
LeftShift;0;274;
S;437;133;
LeftShift;0;234;
e;287;87;
6;1024;78;
9;57;85;
:
F;0;94;
J;252;87;
LeftShift;0;131;
a;164;83;
r;109;71;
@;345;106;
LeftShift;0;305;
S;390;123;
LeftShift;0;200;
e;242;85;
6;1034;86;
9;73;74;
:
F;0;76;
J;285;88;
LeftShift;0;117;
a;154;77;
r;95;71;
@;330;96;
LeftShift;0;271;
S;338;114;
LeftShift;0;181;
e;247;93;
